iter	Passed	Remaining
615	1693	1055
616	1696	1053
617	1699	1050
618	1701	1047
619	1704	1044
620	1707	1042
621	1709	1039
622	1712	1036
623	1715	1033
624	1717	1030
625	1720	1028
626	1722	1024
627	1725	1022
628	1728	1019
629	1730	1016
630	1733	1013
631	1736	1011
632	1738	1008
633	1741	1005
634	1743	1002
635	1746	999
636	1749	997
637	1752	994
638	1755	991
639	1758	989
640	1761	986
641	1764	983
642	1766	981
643	1769	978
644	1771	975
645	1774	972
646	1777	969
647	1780	966
648	1782	963
649	1784	961
650	1787	958
651	1791	956
652	1794	953
653	1796	950
654	1799	947
655	1802	945
656	1805	942
657	1807	939
658	1810	936
659	1812	933
660	1815	931
661	1818	928
662	1820	925
663	1822	922
664	1825	919
665	1828	916
666	1830	913
667	1832	910
668	1835	908
669	1837	905
670	1840	902
671	1842	899
672	1845	896
673	1848	893
674	1850	890
675	1852	888
676	1855	885
677	1858	882
678	1861	879
679	1863	876
680	1865	873
681	1868	871
682	1870	868
683	1873	865
684	1875	862
685	1877	859
686	1880	856
687	1882	853
688	1885	851
689	1887	848
690	1890	845
691	1892	842
692	1895	839
693	1898	837
694	1901	834
695	1903	831
696	1906	828
697	1909	826
698	1912	823
699	1914	820
700	1917	817
701	1920	815
702	1922	812
703	1925	809
704	1928	806
705	1931	804
706	1933	801
707	1936	798
708	1938	795
709	1941	792
710	1944	790
711	1946	787
712	1949	784
713	1951	781
714	1954	779
715	1957	776
716	1960	773
717	1962	770
718	1964	767
719	1967	765
720	1969	762
721	1973	759
722	1975	757
723	1978	754
724	1980	751
725	1983	748
726	1986	745
727	1989	743
728	1992	740
729	1994	737
730	1998	735
731	2000	732
732	2004	730
733	2006	727
734	2009	724
735	2011	721
736	2014	718
737	2017	716
738	2020	713
739	2022	710
740	2025	707
741	2027	705
742	2030	702
743	2033	699
744	2035	696
745	2038	693
746	2040	691
747	2043	688
748	2045	685
749	2049	683
750	2051	680
751	2054	677
752	2057	674
753	2060	672
754	2063	669
755	2065	666
756	2067	663
757	2070	661
758	2073	658
759	2076	655
760	2079	653
761	2082	650
762	2084	647
763	2086	644
764	2089	641
765	2092	639
766	2095	636
767	2097	633
768	2099	630
769	2101	627
770	2104	624
771	2106	622
772	2109	619
773	2111	616
774	2113	613
775	2116	611
776	2119	608
777	2122	605
778	2124	602
779	2126	599
780	2129	597
781	2131	594
782	2133	591
783	2136	588
784	2139	585
785	2141	583
786	2144	580
787	2147	577
788	2149	574
789	2153	572
790	2155	569
791	2158	566
792	2160	564
793	2163	561
794	2166	558
795	2169	555
796	2171	553
797	2174	550
798	2176	547
799	2178	544
800	2181	542
801	2184	539
802	2186	536
803	2188	533
804	2190	530
805	2193	527
806	2196	525
807	2198	522
808	2201	519
809	2204	517
810	2206	514
811	2209	511
812	2212	508
813	2215	506
814	2217	503
815	2219	500
816	2222	497
817	2224	494
818	2227	492
819	2229	489
820	2232	486
821	2234	483
822	2237	481
823	2239	478
824	2242	475
825	2245	472
826	2247	470
827	2249	467
828	2252	464
829	2254	461
830	2257	459
831	2259	456
832	2262	453
833	2264	450
834	2267	448
835	2269	445
836	2272	442
837	2274	439
838	2276	436
839	2279	434
840	2281	431
841	2283	428
842	2286	425
843	2288	423
844	2291	420
845	2293	417
846	2296	414
847	2298	411
848	2302	409
849	2304	406
850	2306	403
851	2309	401
852	2311	398
853	2313	395
854	2316	392
855	2319	390
856	2321	387
857	2323	384
858	2325	381
859	2327	378
860	2330	376
861	2333	373
862	2335	370
863	2338	368
864	2340	365
865	2342	362
866	2345	359
867	2347	357
868	2350	354
869	2352	351
870	2355	348
871	2357	346
872	2360	343
873	2362	340
874	2364	337
875	2367	335
876	2369	332
877	2372	329
878	2375	326
879	2377	324
880	2379	321
881	2382	318
882	2385	316
883	2387	313
884	2390	310
885	2392	307
886	2395	305
887	2398	302
888	2400	299
889	2403	297
890	2406	294
891	2408	291
892	2411	288
893	2413	286
894	2415	283
895	2418	280
896	2421	278
897	2423	275
898	2425	272
899	2428	269
900	2430	267
901	2433	264
902	2436	261
903	2438	258
904	2440	256
905	2443	253
906	2445	250
907	2447	248
908	2451	245
909	2453	242
910	2456	239
911	2458	237
912	2461	234
913	2464	231
914	2466	229
915	2468	226
916	2471	223
917	2474	221
918	2476	218
919	2479	215
920	2482	212
921	2484	210
922	2486	207
923	2489	204
924	2491	202
925	2494	199
926	2497	196
927	2499	193
928	2502	191
929	2504	188
930	2506	185
931	2509	183
932	2512	180
933	2515	177
934	2517	175
935	2519	172
936	2523	169
937	2525	166
938	2528	164
939	2530	161
940	2532	158
941	2535	156
942	2538	153
943	2541	150
944	2543	148
945	2545	145
946	2548	142
947	2550	139
948	2553	137
949	2556	134
950	2558	131
951	2561	129
952	2564	126
953	2567	123
954	2569	121
955	2572	118
956	2575	115
957	2578	113
958	2580	110
959	2583	107
960	2586	104
961	2588	102
962	2591	99
963	2593	96
964	2596	94
965	2599	91
966	2601	88
967	2604	86
968	2607	83
969	2609	80
970	2613	78
971	2616	75
972	2618	72
973	2621	69
974	2623	67
975	2625	64
976	2629	61
977	2631	59
978	2634	56
979	2636	53
980	2639	51
981	2642	48
982	2646	45
983	2649	43
984	2651	40
985	2654	37
986	2656	34
987	2660	32
988	2663	29
989	2666	26
990	2668	24
991	2671	21
992	2674	18
993	2677	16
994	2679	13
995	2682	10
996	2684	8
997	2687	5
998	2690	2
999	2693	0
